Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,Brandeis University,1.46,PhD,Los Angeles,F,N/A,1,0.0,2,Senior SWE,04/18,02/23,N/A,N/A,N/A,N/A,N/A,N/A,0.75
2,Providence University,2.31,Masters,Providence,M,0.0,1,0.0,2,Data Scientist,04/17,03/21,Data Scientist,03/16,06/19,N/A,N/A,N/A,2.36
3,American University,2.28,Bachelors,Los Angeles,M,N/A,1,0.0,3,Senior SWE,02/20,12/22,Lawyer,02/15,10/19,Junior SWE,09/18,02/17,8.36
4,Fordham University,2.48,PhD,Providence,F,0.0,1,0.0,3,Lawyer,06/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A,4.52
5,Yale University,1.63,Bachelors,Boston,M,0.0,1,0.0,0,ML Engineer,04/17,01/21,N/A,N/A,N/A,N/A,N/A,N/A,2.36
6,Providence University,3.57,Bachelors,Charlottesville,F,0.0,0,0.0,0,ML Engineer,02/20,10/21,N/A,N/A,N/A,N/A,N/A,N/A,7.66
7,Harvard University,3.14,Bachelors,Los Angeles,F,0.0,1,0.0,2,Senior SWE,01/19,06/21,N/A,N/A,N/A,N/A,N/A,N/A,3.26
8,American University,2.75,PhD,Chicago,F,0.0,1,1.0,4,Senior SWE,02/17,04/21,N/A,N/A,N/A,N/A,N/A,N/A,8.0
9,Harvard University,3.28,Masters,Miami,F,0.0,0,0.0,4,Junior SWE,05/17,02/22,N/A,N/A,N/A,N/A,N/A,N/A,8.91
10,Harvard University,2.83,Masters,Charlottesville,F,0.0,1,0.0,2,Senior SWE,05/19,09/23,N/A,N/A,N/A,N/A,N/A,N/A,9.12
11,Yale University,2.15,Masters,Charlottesville,F,0.0,1,0.0,0,Junior SWE,04/17,05/22,Senior SWE,07/15,09/21,N/A,N/A,N/A,4.16
12,Howard University,1.57,Bachelors,Charlottesville,F,0.0,1,0.0,2,Senior SWE,04/19,12/21,N/A,N/A,N/A,N/A,N/A,N/A,2.34
13,Howard University,3.88,Bachelors,Waltham,F,0.0,1,1.0,0,Senior SWE,12/19,11/22,N/A,N/A,N/A,N/A,N/A,N/A,0.98
14,Providence University,2.65,Masters,Boston,M,0.0,1,0.0,0,ML Engineer,01/18,06/22,Senior SWE,07/15,08/21,Senior SWE,07/15,08/19,0.15
15,Harvard University,2.79,Bachelors,Boston,N/A,0.0,1,0.0,4,ML Engineer,03/17,08/22,ML Engineer,01/16,02/19,N/A,N/A,N/A,4.47
16,Yale University,3.1,Masters,Miami,F,1.0,1,0.0,0,ML Engineer,11/20,03/23,Lawyer,02/15,04/19,N/A,N/A,N/A,2.81
17,Harvard University,2.75,Masters,Providence,F,0.0,1,0.0,2,Lawyer,09/17,10/21,Junior SWE,01/15,03/19,N/A,N/A,N/A,6.61
18,Harvard University,3.47,Bachelors,Boston,M,0.0,1,0.0,3,ML Engineer,10/19,01/21,ML Engineer,09/19,08/19,N/A,N/A,N/A,4.07
19,American University,2.01,PhD,Miami,M,0.0,0,N/A,1,Junior SWE,04/18,07/21,N/A,N/A,N/A,N/A,N/A,N/A,1.84
20,American University,1.9,Bachelors,Providence,F,0.0,1,0.0,0,Senior SWE,07/18,11/23,ML Engineer,05/19,09/20,N/A,N/A,N/A,2.66
