Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Howard University,3.06,Masters,Miami,F,0,1,N/A,2,Lawyer,05/19,01/21,ML Engineer,08/16,10/20,N/A,N/A,N/A
2,Harvard University,2.13,Bachelors,Los Angeles,M,0,1,0,3,Data Scientist,02/19,05/23,N/A,N/A,N/A,N/A,N/A,N/A
3,Brandeis University,2.62,Bachelors,Los Angeles,F,0,0,0,2,Data Scientist,02/20,02/23,Lawyer,02/17,03/21,N/A,N/A,N/A
4,Howard University,2.57,Bachelors,Charlottesville,F,0,0,0,2,Senior SWE,12/19,05/21,Senior SWE,04/18,12/20,N/A,N/A,N/A
5,Yale University,3.54,Bachelors,Chicago,F,0,1,0,1,ML Engineer,01/20,01/22,Lawyer,03/17,06/21,N/A,N/A,N/A
6,Brandeis University,3.52,PhD,Boston,F,N/A,1,0,4,ML Engineer,12/18,11/22,Senior SWE,11/18,03/21,N/A,N/A,N/A
7,Brandeis University,3.5,Bachelors,Miami,F,0,1,1,2,Lawyer,05/18,06/22,Lawyer,02/18,11/20,N/A,N/A,N/A
8,Howard University,1.03,Masters,Chicago,M,0,1,0,2,ML Engineer,08/20,05/21,Data Scientist,12/15,06/19,N/A,N/A,N/A
9,American University,3.25,Bachelors,Chicago,F,1,1,0,3,Senior SWE,03/17,04/21,N/A,N/A,N/A,N/A,N/A,N/A
10,Yale University,3.28,Masters,Los Angeles,M,N/A,0,0,4,Lawyer,08/17,04/23,Lawyer,05/15,01/20,N/A,N/A,N/A
11,Howard University,3.04,Bachelors,Charlottesville,F,0,1,0,4,Data Scientist,08/18,06/21,N/A,N/A,N/A,N/A,N/A,N/A
12,Yale University,3.27,Bachelors,Providence,M,0,1,0,2,ML Engineer,05/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A
13,Yale University,3.53,PhD,Miami,F,0,0,0,4,Senior SWE,01/17,06/23,N/A,N/A,N/A,N/A,N/A,N/A
14,Brandeis University,2.41,Bachelors,Waltham,M,0,1,0,3,Senior SWE,10/19,10/22,Junior SWE,10/17,07/21,N/A,N/A,N/A
15,Harvard University,2.51,Bachelors,Providence,M,0,0,0,1,Data Scientist,03/19,10/22,N/A,N/A,N/A,N/A,N/A,N/A
16,Yale University,1.37,Bachelors,New York City,N/A,N/A,1,0,2,Senior SWE,11/18,05/22,N/A,N/A,N/A,N/A,N/A,N/A
17,Fordham University,2.16,Masters,New York City,M,0,0,0,0,Lawyer,08/18,08/22,N/A,N/A,N/A,N/A,N/A,N/A
18,Brandeis University,2.93,Bachelors,Miami,F,0,1,0,2,Lawyer,01/19,10/22,Lawyer,03/16,07/21,N/A,N/A,N/A
19,American University,3.34,PhD,Charlottesville,N/A,0,1,0,2,Junior SWE,08/17,10/23,Lawyer,05/16,09/20,N/A,N/A,N/A
20,Harvard University,1.65,Bachelors,Boston,M,0,1,0,1,Data Scientist,06/17,08/21,Senior SWE,08/18,05/20,Senior SWE,10/18,01/18
21,Fordham University,1.41,Bachelors,New York City,F,0,1,0,0,Senior SWE,02/18,08/21,Data Scientist,11/18,08/21,N/A,N/A,N/A
22,Fordham University,2.99,Masters,Los Angeles,M,0,1,0,0,ML Engineer,10/19,03/21,N/A,N/A,N/A,N/A,N/A,N/A
23,American University,1.01,Masters,Boston,M,1,0,0,0,Lawyer,04/19,12/22,N/A,N/A,N/A,N/A,N/A,N/A
24,Harvard University,1.54,PhD,Chicago,M,N/A,0,0,1,Data Scientist,11/18,08/22,Data Scientist,08/19,07/20,N/A,N/A,N/A
25,Brandeis University,1.09,PhD,New York City,N/A,0,1,0,4,Data Scientist,03/19,04/21,Senior SWE,02/19,11/20,Senior SWE,10/16,11/19
26,Providence University,1.5,Bachelors,Los Angeles,M,1,1,0,0,Lawyer,03/19,01/22,Data Scientist,09/15,08/21,N/A,N/A,N/A
27,Harvard University,1.54,Bachelors,Chicago,F,0,1,0,4,Junior SWE,03/18,07/21,Senior SWE,04/15,10/19,N/A,N/A,N/A
28,American University,2.16,Bachelors,Boston,F,0,1,0,3,Data Scientist,05/17,12/21,N/A,N/A,N/A,N/A,N/A,N/A
29,Fordham University,2.21,Masters,Miami,F,0,1,0,1,Senior SWE,07/20,10/23,N/A,N/A,N/A,N/A,N/A,N/A
30,Brandeis University,3.62,PhD,Chicago,M,N/A,0,0,4,ML Engineer,05/19,12/22,Lawyer,05/16,05/19,N/A,N/A,N/A
31,Harvard University,2.53,Bachelors,Providence,F,0,1,0,0,ML Engineer,09/19,01/21,Data Scientist,06/15,01/19,ML Engineer,02/15,06/19
32,Providence University,3.17,Bachelors,Miami,F,0,1,0,0,Lawyer,10/18,09/21,N/A,N/A,N/A,N/A,N/A,N/A
33,Providence University,1.31,Bachelors,Miami,F,0,1,0,4,Data Scientist,12/19,01/21,Junior SWE,01/19,04/21,N/A,N/A,N/A
34,Yale University,1.68,Masters,Boston,N/A,0,1,0,4,ML Engineer,04/19,01/23,N/A,N/A,N/A,N/A,N/A,N/A
35,Yale University,3.11,Bachelors,Boston,F,0,1,0,3,Data Scientist,03/17,05/22,N/A,N/A,N/A,N/A,N/A,N/A
36,Howard University,1.16,Bachelors,Los Angeles,M,1,1,0,1,Lawyer,06/20,11/23,N/A,N/A,N/A,N/A,N/A,N/A
37,American University,2.46,Bachelors,Los Angeles,F,N/A,1,0,2,Junior SWE,03/18,02/23,Junior SWE,08/16,11/20,N/A,N/A,N/A
38,Harvard University,2.8,Masters,Providence,M,0,1,0,3,ML Engineer,07/17,07/22,Data Scientist,04/19,01/19,N/A,N/A,N/A
39,Harvard University,2.81,Masters,Miami,M,0,1,0,3,Senior SWE,05/17,05/23,N/A,N/A,N/A,N/A,N/A,N/A
40,Howard University,1.07,Masters,Waltham,F,0,1,0,3,Lawyer,10/19,01/23,Junior SWE,03/19,02/21,N/A,N/A,N/A
41,Fordham University,1.97,Bachelors,Charlottesville,M,0,1,0,0,Junior SWE,10/19,09/21,Lawyer,04/17,03/21,N/A,N/A,N/A
42,Fordham University,2.91,Bachelors,Providence,M,1,1,0,4,Senior SWE,09/19,07/22,N/A,N/A,N/A,N/A,N/A,N/A
43,Howard University,1.45,Masters,Providence,N/A,0,0,0,1,Senior SWE,08/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A
44,Fordham University,3.09,PhD,Charlottesville,M,0,1,0,0,ML Engineer,05/18,04/22,ML Engineer,11/16,10/20,N/A,N/A,N/A
