applicant_id,score
"1","0.75"
"2","2.36"
"3","8.36"
"4","4.52"
"5","2.36"
"6","7.66"
"7","3.26"
"8","8.0"
"9","8.91"
"10","9.12"
"11","4.16"
"12","2.34"
"13","0.98"
"14","0.15"
"15","4.47"
"16","2.81"
"17","6.61"
"18","4.07"
"19","1.84"
"20","2.66"
"21","4.49"
"22","1.06"
"23","7.67"
"24","1.42"
"25","2.98"
"26","4.95"
"27","1.1"
"28","0.99"
"29","1.14"
"30","2.22"
"31","0.85"
"32","3.38"
"33","3.11"
"34","9.1"
"35","6.82"
"36","2.95"
"37","2.45"
"38","5.57"
"39","8.59"
"40","7.2"
"41","2.51"
"42","0.73"
"43","0.3"
"44","9.05"
"45","4.02"
"46","8.89"
"47","2.75"
"48","5.33"
"49","8.03"
"50","9.13"
"51","3.98"
"52","2.26"
"53","8.57"
"54","7.64"
"55","4.55"
"56","4.44"
"57","1.61"
"58","7.76"
"59","3.41"
"60","5.31"
"61","8.6"
"62","7.4"
"63","7.94"
"64","1.51"
"65","7.84"
"66","0.16"
"67","9.73"
"68","5.28"
"69","7.31"
"70","5.46"
"71","0.58"
"72","1.02"
"73","8.18"
"74","6.93"
"75","8.66"
"76","0.65"
"77","5.45"
"78","2.2"
"79","3.05"
"80","2.06"
"81","9.64"
"82","1.51"
"83","5.1"
"84","8.18"
"85","3.88"
"86","7.55"
"87","1.61"
"88","6.38"
"89","7.35"
"90","3.54"
"91","9.37"
"92","8.76"
"93","8.05"
"94","3.91"
"95","0.28"
"96","6.35"
"97","9.88"
"98","5.06"
"99","4.06"
"100","7.12"
"101","7.57"
"102","6.52"
"103","7.61"
"104","3.24"
"105","1.1"
"106","2.82"
"107","1.82"
"108","8.86"
"109","8.8"
"110","5.92"
"111","5.66"
"112","4.6"
"113","6.34"
"114","4.51"
"115","2.7"
"116","2.13"
"117","3.54"
"118","2.25"
"119","7.04"
"120","2.1"
"121","3.48"
"122","6.51"
"123","1.08"
"124","3.03"
"125","2.84"
"126","9.15"
"127","7.99"
"128","6.0"
"129","2.33"
"130","2.96"
"131","4.72"
"132","5.84"
"133","4.33"
"134","1.57"
"135","1.92"
"136","9.81"
"137","3.74"
"138","9.13"
"139","0.74"
"140","4.74"
"141","2.14"
"142","4.33"
"143","7.78"
"144","0.34"
"145","4.48"
"146","5.37"
"147","4.77"
"148","7.65"
"149","2.54"
"150","3.43"
"151","9.1"
